,discount_factor,input_1_parms,input_2_parms,learning_rate,learning_rate_value,num_hidden_layers,num_neurons_value,out_parms,max_average_reward_100_episodes
49,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.001,0.01,6,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.83
23,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.0001,4,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.83
22,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.001,2,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.91
70,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.01,12,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.93
37,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.01,6,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.93
93,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.001,8,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.96
27,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.001,6,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.98
33,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.01,4,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.98
74,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.001,4,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",11.99
43,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,1e-05,4,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.0
77,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,1e-05,12,50,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.0
62,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.001,8,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.0
6,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,1e-05,6,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.02
55,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.0001,12,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.04
15,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.001,8,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.06
63,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.01,8,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.13
14,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.001,6,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.21
84,0.95,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",0.0001,0.01,8,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.22
51,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,0.001,12,100,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.23
12,0.99,"{'learning_rate': 0.0002, 'num_neurons_policy': 40}","{'learning_rate': 0.001, 'num_neurons_policy': 12}",1e-05,1e-05,2,10,"{'learning_rate': 0.0001, 'num_neurons_policy': 12}",12.34
